iter	MultiClass
0	1.471506379
1	1.291201929
2	1.10708022
3	0.9932947393
4	0.9045939653
5	0.8275063984
6	0.7681440012
7	0.7025953941
8	0.6465727753
9	0.601370002
10	0.559839738
11	0.5190571204
12	0.4888528445
13	0.4606304396
14	0.4380739142
15	0.4129543206
16	0.3868006914
17	0.3632613794
18	0.3468149143
19	0.3334156578
20	0.3227015868
21	0.3051380392
22	0.2912164335
23	0.2801418512
24	0.2709660703
25	0.2603644177
26	0.2511396213
27	0.239944892
28	0.2333432429
29	0.2241600845
30	0.2176736258
31	0.2125562298
32	0.2077021293
33	0.201504823
34	0.1965682726
35	0.1917595861
36	0.1877162845
37	0.1806156777
38	0.176778612
39	0.1734305844
40	0.1707333915
41	0.1663006155
42	0.1642238042
43	0.16226928
44	0.1598188457
45	0.1577972768
46	0.1545820871
47	0.1515230935
48	0.1499734208
49	0.1473279066
50	0.1439535316
51	0.1419340863
52	0.1406668611
53	0.1388408407
54	0.1377594541
55	0.1366487362
56	0.1345296856
57	0.1333338968
58	0.1313227805
59	0.1299356089
60	0.1278784092
61	0.1273145944
62	0.1265223485
63	0.124646583
64	0.1234210933
65	0.1227439338
66	0.1216628106
67	0.1200509935
68	0.1177189553
69	0.1165026639
70	0.1154054264
71	0.1144205531
72	0.1138267878
73	0.1125534985
74	0.1119247989
75	0.1106053413
76	0.1098765333
77	0.1080146057
78	0.1074644193
79	0.1069855901
80	0.1061009013
81	0.1050702212
82	0.1046473704
83	0.1043858424
84	0.1040678534
85	0.1034940571
86	0.1031028991
87	0.101945601
88	0.1013599339
89	0.1011843284
90	0.1006604842
91	0.09886715338
92	0.09794347644
93	0.09691233544
94	0.09605380727
95	0.09569840438
96	0.09474655765
97	0.09329239864
98	0.09218866868
99	0.09193772482
100	0.09108617271
101	0.09087260591
102	0.09064647102
103	0.09009783188
104	0.09002921252
105	0.08935104521
106	0.08890539551
107	0.08845276924
108	0.08748992319
109	0.08686553949
110	0.08607831966
111	0.0858896274
112	0.08525621405
113	0.08358151869
114	0.08322914033
115	0.08129507647
116	0.08045862834
117	0.07939039255
118	0.07733268019
119	0.07690869977
120	0.07617474131
121	0.07515957557
122	0.0748402454
123	0.07438147683
124	0.07380399787
125	0.07298909515
126	0.0713469624
127	0.07082359118
128	0.06978620255
129	0.06895438859
130	0.06851434565
131	0.0674760597
132	0.0670423892
133	0.06547489779
134	0.06410082406
135	0.06342097996
136	0.06292085151
137	0.0618845127
138	0.0609204995
139	0.06021094489
140	0.05967994001
141	0.0587119704
142	0.0580458604
143	0.05713337358
144	0.05666058919
145	0.0557885726
146	0.05549714671
147	0.05511134334
148	0.05452879534
149	0.05400742891
150	0.05373693926
151	0.05335452641
152	0.05291263095
153	0.05242109087
154	0.05217060902
155	0.05151193248
156	0.05125057206
157	0.05057587274
158	0.05042470269
159	0.05018857801
160	0.04996949785
161	0.04973657054
162	0.04954386195
163	0.04934066258
164	0.04904823864
165	0.04890432188
166	0.04863605413
167	0.04847426783
168	0.04819181082
169	0.04797268613
170	0.04777461324
171	0.04765129223
172	0.04726292363
173	0.04702220141
174	0.04673706373
175	0.04659103188
176	0.04628982792
177	0.04611926422
178	0.04601932281
179	0.04570619511
180	0.04539350001
181	0.04522785381
182	0.04506418111
183	0.04486577962
184	0.04465189305
185	0.04449191126
186	0.04429701473
187	0.04403029171
188	0.04395853662
189	0.04362094447
190	0.04350454949
191	0.04339291356
192	0.04310014419
193	0.04292025347
194	0.04275303821
195	0.04267850513
196	0.04252350691
197	0.042410032
198	0.04207497746
199	0.04187448492
200	0.0417503678
201	0.04166375779
202	0.04152081595
203	0.041441797
204	0.04121447306
205	0.04105994774
206	0.04094457983
207	0.04077672758
208	0.04068564355
209	0.04050359615
210	0.04045002345
211	0.04030721005
212	0.04020830372
213	0.04008516193
214	0.03997590416
215	0.03981649428
216	0.03960932551
217	0.03948496462
218	0.03938823963
219	0.03930132487
220	0.03922551056
221	0.03914677711
222	0.03906683349
223	0.03903588381
224	0.03894796675
225	0.03886932775
226	0.03881568978
227	0.03874454716
228	0.03857873531
229	0.03849624151
230	0.03841025978
231	0.03827913481
232	0.03813001897
233	0.03805417077
234	0.03795954969
235	0.03789595187
236	0.03776969701
237	0.03763069615
238	0.03754172473
239	0.03745646056
240	0.0373878654
241	0.03733410643
242	0.03728162085
243	0.03721167781
244	0.03718503903
245	0.03712891183
246	0.03704304233
247	0.036969254
248	0.03690133287
249	0.03683521572
250	0.03677524402
251	0.03667942993
252	0.03663928424
253	0.03657092607
254	0.03647348072
255	0.03645426812
256	0.03639317124
257	0.03635249609
258	0.03633166555
259	0.03620067119
260	0.03610550672
261	0.03600280503
262	0.03590810621
263	0.03581127056
264	0.03577661859
265	0.03572492631
266	0.03569441358
267	0.03557231564
268	0.03549532682
269	0.03542932139
270	0.03537297948
271	0.03527902044
272	0.035221716
273	0.03517730422
274	0.03510621833
275	0.03508221954
276	0.03505008669
277	0.03494372003
278	0.03491603162
279	0.03487867966
280	0.03482494056
281	0.03471672156
282	0.03466643644
283	0.03463771433
284	0.03461572542
285	0.03454264322
286	0.03450775034
287	0.03441971788
288	0.03436787374
289	0.03426308126
290	0.03424074857
291	0.03419318019
292	0.034168302
293	0.03415060878
294	0.03408393687
295	0.034040542
296	0.03395763267
297	0.03391280151
298	0.03387311843
299	0.03381916801
