Model,Accuracy,Precision,Recall,F1 Score,ROC AUC,Training Time (s),Memory (MB)
XGBoost,0.9984789222077358,0.8674562134229022,0.8019377324204117,0.8271513072432569,0.996468780917059,32.88316169999962,114.65234375
RandomForest,0.995943792553962,0.8301279811683179,0.8009931086133198,0.8072766561501584,0.9650817478578353,5.120748999997886,16.18359375
LightGBM,0.9981891931044473,0.829110510623826,0.8011781940879227,0.8028181139352139,0.9927069914676568,52.935026999999536,-171.4375
CatBoost,0.9819643633202956,0.6499448947295724,0.8096485808666903,0.6564140741236225,0.6716264375358043,92.58741130000271,48.8125
